IPCC_annex,C_group_IM24_sh,Country_code_A3,Name,Substance,Y_1970,Y_1971,Y_1972,Y_1973,Y_1974,Y_1975,Y_1976,Y_1977,Y_1978,Y_1979,Y_1980,Y_1981,Y_1982,Y_1983,Y_1984,Y_1985,Y_1986,Y_1987,Y_1988,Y_1989,Y_1990,Y_1991,Y_1992,Y_1993,Y_1994,Y_1995,Y_1996,Y_1997,Y_1998,Y_1999,Y_2000,Y_2001,Y_2002,Y_2003,Y_2004,Y_2005,Y_2006,Y_2007,Y_2008,Y_2009,Y_2010,Y_2011,Y_2012,Y_2013,Y_2014,Y_2015,Y_2016,Y_2017,Y_2018,Y_2019,Y_2020,Y_2021,Y_2022,Y_2023,Y_2024
Non-Annex_I,Rest Central America,ABW,Aruba,CH4,0.386531205,0.429951644,0.435568282,0.441573257,0.445433128,0.448573869,0.450209167,0.450896133,0.450023617,0.450553422,0.450941542,0.453850025,0.458978674,0.464126705,0.469871353,0.470920379,0.468367407,0.461624818,0.456359905,0.458596179,0.52971855,0.553612905,0.569211259,0.593442679,0.620906121,0.639424354,0.636720811,0.659645281,0.663222677,0.663624139,2.494270855,2.493706781,2.494764905,2.640829181,2.881551893,2.902831763,1.902108174,1.928475898,1.795641538,1.662936543,1.290068091,1.512328736,0.812114611,0.711142092,0.732122177,0.730526499,0.739652045,0.743319654,0.748818878,0.755529938,0.762670464,0.776666859,0.791498753,0.801706448,0.807087994
Non-Annex_I,India +,AFG,Afghanistan,CH4,394.110657,392.5008544,343.1560195,359.8949012,381.8503697,406.4999215,414.2978554,403.7164042,404.6282468,398.6122225,396.3238106,394.2831311,390.3034398,368.8911213,326.9029945,297.8248698,255.8684943,270.1086916,283.7039318,276.6803133,284.6785399,288.3337435,292.6282358,297.268079,308.6407683,320.7413953,360.3153671,391.5594256,414.0681358,437.955518,385.5472631,333.122497,412.0135451,426.4351639,434.4265749,420.6738068,423.0657324,440.4504307,483.6999951,501.780312,566.4783627,578.8903086,560.9253777,557.5024581,575.5895885,546.8646827,536.0861846,533.0482145,550.5442488,554.7912508,559.8831616,565.1727043,569.8967653,573.2519778,576.666073
Non-Annex_I,Southern_Africa,AGO,Angola,CH4,288.2458613,295.8425785,319.0988346,337.6961519,345.0543672,335.7634352,326.9335289,323.3479372,320.9330899,338.4552822,348.4381991,337.1357946,335.1933373,378.7888624,406.2096385,427.7530427,470.3772145,527.5481901,595.5458902,596.9013822,614.6175537,590.9753123,537.6820074,669.0544059,1054.527736,1245.456583,1507.605463,1577.574763,1715.489993,1712.383277,1600.175646,1529.527059,1487.828436,1443.517946,1612.24091,1610.785768,1335.330682,1253.247136,1294.035261,1270.984001,1445.394874,1376.390496,1403.335681,1423.140048,1408.1958,1477.83829,1440.842669,1371.755827,1296.077261,1260.785349,1217.565235,1158.18149,1169.921491,1154.06131,1174.002422
Non-Annex_I,Rest Central America,AIA,Anguilla,CH4,0.040878706,0.042701559,0.044425961,0.045984877,0.047502382,0.048819779,0.049787527,0.05071954,0.051554958,0.052147743,0.053039783,0.052812215,0.054501714,0.053379854,0.052540766,0.051377672,0.052719215,0.055188259,0.056963814,0.058716664,0.060294698,0.062001905,0.063253474,0.064741699,0.066702869,0.068341367,0.068480869,0.068224452,0.067963741,0.068066741,0.068849721,0.070864413,0.071739741,0.074117861,0.075791578,0.077771598,0.078841847,0.080117752,0.082042074,0.084511915,0.086486571,0.087753701,0.088715859,0.089998218,0.090933495,0.091833827,0.091982863,0.092138969,0.092061568,0.092382019,0.09201783,0.091899589,0.092022708,0.092694638,0.093039905
Int. Aviation,Int. Aviation,AIR,Int. Aviation,CH4,1.188604582,1.188604582,1.257431533,1.311488153,1.262266605,1.221022748,1.223227246,1.334323761,1.383827438,1.43066723,1.422928625,1.41735712,1.469053766,1.482179522,1.537704554,1.579920779,1.735362425,1.834633673,1.938363955,2.035872844,1.823132379,1.774136417,1.833316054,1.869339234,1.965547715,2.040474057,2.123847187,2.226219006,2.300652649,2.398450842,2.484825867,2.441927105,2.583978438,2.569263499,2.818727378,3.000087759,3.106812397,3.211306165,3.2610323,3.102959626,3.280344654,3.369504216,3.384427115,3.44299103,3.546215563,3.751485147,3.935552554,4.151253506,4.337134171,4.382587124,2.071152788,2.288431761,3.297950703,3.992256114,4.296014731
Non-Annex_I,Central Europe,ALB,Albania,CH4,92.86196086,91.81845885,100.2451224,101.7146774,97.68422824,100.5673039,105.8134427,109.210202,118.0110684,118.5693566,120.6560757,120.6135013,135.584044,145.5871465,133.8223165,131.8731589,136.0642421,141.5026509,139.7358842,144.2166237,128.6815213,132.0651536,105.2627893,109.774015,124.8518877,123.5038549,116.668101,108.7510208,104.1378599,104.9472736,105.9188678,104.8723928,104.3530855,104.8672461,102.6755564,101.096745,100.8107805,97.02464637,93.17905287,89.8415167,90.96369251,90.05781811,92.54215156,95.11008786,97.54744332,98.96192916,97.20895437,96.90152061,97.59703223,90.25777552,83.72627391,82.1654706,76.54450755,72.53526983,67.49907537
Non-Annex_I,Rest Central America,ANT,Netherlands Antilles,CH4,12.7705193,12.91709476,12.32444444,13.86005116,12.79656815,8.798294856,9.231247079,9.274936353,9.355280951,9.10965288,9.606372492,8.937309284,8.235827643,8.313818073,7.245098516,4.108604996,3.999883869,4.415680039,4.464426385,4.409402179,4.54408534,4.500795394,4.94914192,5.039139203,5.086440422,5.089811854,5.092649451,5.010943453,5.173793533,4.607362437,4.692284996,5.043599047,4.452970325,4.213853831,4.656061829,4.791563729,4.559147006,4.767450174,4.589947893,4.394261501,2.971235613,4.106063642,4.200116399,4.259138077,4.446508151,4.326966654,4.068939221,2.993897401,2.663049483,1.729159226,1.716258584,1.736675819,1.756911532,1.76548383,1.782181337
Non-Annex_I,Middle_East,ARE,United Arab Emirates,CH4,333.9412842,335.6495643,379.9910727,482.0805561,527.0547217,533.5837555,610.2174456,633.5874481,590.3564159,596.4076979,563.7251059,504.6415207,437.7068703,410.1451485,407.9550977,417.3500822,469.1335804,526.2497236,542.9168272,641.6620069,712.9666647,724.4348503,780.9104987,887.8096679,825.1454879,835.7289851,880.7427966,816.892314,770.7449602,757.7481007,831.6681247,793.8216586,743.1533854,805.4080499,788.455109,821.0402129,874.1028558,877.9658563,885.4439091,873.8640907,920.4069583,994.2161463,1041.349605,1089.734299,1078.062817,1159.996891,1194.285745,1151.637662,1155.673683,1190.765684,1145.186088,1153.770185,1253.708533,1244.52892,1259.030005
Non-Annex_I,Rest South America,ARG,Argentina,CH4,3814.023768,3903.075256,4059.951256,4196.893537,4199.268158,4275.377021,4377.805649,4576.444085,4384.56337,4362.364407,4295.407772,4206.37055,4123.731964,4205.970129,4249.986655,4206.072956,4151.698148,4105.265584,4244.859833,4326.111532,4389.316708,4338.265238,4394.610806,4335.152499,4370.857651,4413.342154,4289.729002,4302.002743,4186.497697,4332.429772,4306.203809,4354.927666,4531.120391,4790.668605,4870.789421,4878.806505,4972.645278,4990.820468,4926.313379,4686.031139,4367.384153,4306.845435,4438.536507,4531.193843,4589.718074,4589.886193,4653.651274,4803.967349,4809.528572,4849.775692,4789.112864,4725.303049,4803.2869,4790.16989,4853.049426
Non-Annex_I,Russia +,ARM,Armenia,CH4,69.69323274,73.93286629,76.40256518,78.44306475,81.08578503,83.40247923,84.35277347,85.54827186,87.69900719,89.36568453,90.70990262,91.30395889,92.56658278,94.07270054,96.04138607,97.27413901,98.42715911,100.0158425,101.3788676,102.9886291,102.6253729,96.01625352,90.81204731,77.03602332,75.07033259,73.59523994,73.13100772,72.49195278,68.45601508,68.49287517,69.13062101,71.0214714,73.00867832,75.26033888,78.05588302,78.2486678,79.83917934,83.23404381,84.04806599,80.05373217,78.14187837,78.43488666,81.35761548,87.27315574,89.32685681,91.17021963,93.34409534,88.93997194,84.05352617,82.82488379,90.852753,93.44638124,93.45377014,85.53513344,87.10632424
