IPCC_annex,C_group_IM24_sh,Country_code_A3,Name,Substance,Y_1970,Y_1971,Y_1972,Y_1973,Y_1974,Y_1975,Y_1976,Y_1977,Y_1978,Y_1979,Y_1980,Y_1981,Y_1982,Y_1983,Y_1984,Y_1985,Y_1986,Y_1987,Y_1988,Y_1989,Y_1990,Y_1991,Y_1992,Y_1993,Y_1994,Y_1995,Y_1996,Y_1997,Y_1998,Y_1999,Y_2000,Y_2001,Y_2002,Y_2003,Y_2004,Y_2005,Y_2006,Y_2007,Y_2008,Y_2009,Y_2010,Y_2011,Y_2012,Y_2013,Y_2014,Y_2015,Y_2016,Y_2017,Y_2018,Y_2019,Y_2020,Y_2021,Y_2022,Y_2023,Y_2024
Non-Annex_I,Rest Central America,ABW,Aruba,N2O,0.002871178,0.00296933,0.003275558,0.003312906,0.003341432,0.003792688,0.003764429,0.004324985,0.004548665,0.004613906,0.005059933,0.005065177,0.005110165,0.005148411,0.006238898,0.006453332,0.007143087,0.00772223,0.008294367,0.010517699,0.016767186,0.018515921,0.019945997,0.020139101,0.021977721,0.023974778,0.018438315,0.027101288,0.029904344,0.031191882,0.020936441,0.021575254,0.02249458,0.024654827,0.02525201,0.027178381,0.029514343,0.031130638,0.030996384,0.033378574,0.032891019,0.02301437,0.027509085,0.029274771,0.030819745,0.031718529,0.033337199,0.032574165,0.032320798,0.034609292,0.033407133,0.034300092,0.036617581,0.036841536,0.037693556
Non-Annex_I,India +,AFG,Afghanistan,N2O,9.484530244,9.357435545,7.388182207,8.085985623,8.833706741,9.578486059,9.862836632,9.747084296,9.628693163,9.379923946,9.52830742,9.426750507,9.640239811,9.130492548,8.69061644,8.069620782,6.889793252,7.435765382,7.721517456,7.683493835,7.669014282,7.875638495,7.705616603,7.809733453,7.195516584,7.547128846,8.313997232,9.112637015,9.771110436,10.60692184,9.236282343,8.351691584,9.711103626,10.12638398,10.08895891,10.53070831,10.41362597,10.51402846,11.5793574,12.40800041,13.8588081,14.23731677,14.25055048,13.91461188,14.47671185,14.63584227,15.09400255,17.12223638,15.16487345,15.30000094,14.30297166,13.83554552,14.1071341,14.16074788,14.26094682
Non-Annex_I,Southern_Africa,AGO,Angola,N2O,5.829964194,6.169842866,6.383765618,6.487091991,6.599106539,6.675285412,6.330543018,6.487032554,6.777478034,6.961942437,7.149574543,7.237127218,18.18532499,17.50928081,15.55233188,19.24020727,18.82215792,17.8598206,15.11654496,17.67390557,18.12614007,16.19271555,18.21917021,18.23559505,17.71002879,17.84406143,19.18654551,15.18203123,19.24222781,18.60060916,18.49343074,21.13890273,18.1886161,19.49264753,19.82803424,20.39358329,19.81546957,20.75452027,20.86323016,21.76069449,22.75200687,23.03592864,23.28791746,23.82200409,24.06795764,24.98819877,24.93651916,25.39075711,23.27551526,25.5855835,24.36969569,25.03055426,24.80068612,24.91719231,25.85964874
Non-Annex_I,Rest Central America,AIA,Anguilla,N2O,0.000188544,0.000185944,0.000196605,0.000185028,0.000209105,0.000245119,0.000214726,0.000227469,0.000261487,0.000280138,0.000379371,0.000611094,0.000651827,0.000575206,0.00055064,0.000327007,0.000274967,0.000507915,0.000496121,0.000503219,0.000489209,0.000648001,0.000694229,0.000843089,0.001120765,0.001602137,0.001697715,0.00148737,0.00142256,0.001451281,0.001471949,0.001891322,0.001387787,0.00164136,0.001627289,0.00165303,0.001633507,0.001485388,0.001720509,0.002149826,0.002535818,0.002702217,0.002713598,0.002864017,0.002857595,0.002819558,0.003026716,0.003100696,0.002960473,0.002917225,0.002536518,0.002453951,0.002435396,0.002430905,0.002495907
Int. Aviation,Int. Aviation,AIR,Int. Aviation,N2O,9.60128866,9.553858125,10.0569037,10.43691297,9.994834535,9.619534729,9.588090212,10.40565884,10.73649007,11.0428089,10.92629628,10.82695539,11.16323579,11.20383201,11.56218596,11.81656908,12.9099022,13.57520204,14.26539544,14.90177215,13.27184635,12.8443749,13.19966569,13.38443363,13.99485057,14.44690801,15.03720414,15.76201426,16.28901728,16.98144534,17.59299541,17.28926478,18.2950127,18.19082839,19.95707565,21.24113841,21.99676724,22.73660113,23.08867073,21.96948896,23.22540553,23.8566706,23.9623273,24.37696991,25.10781739,26.56116142,27.73909157,29.19065376,30.46775604,30.93244202,14.63882974,16.15772977,23.35005936,28.26586134,30.4165247
Non-Annex_I,Central Europe,ALB,Albania,N2O,2.718576268,2.672385853,2.66714974,2.690583848,2.754877027,2.763746161,3.09725229,3.30862236,3.868764427,3.981777691,3.995106869,4.105909575,4.096048609,4.226383,4.336644395,4.240937996,4.35118577,4.333994742,4.526320359,4.820587742,4.482347798,3.391916292,3.132498897,3.322448303,3.924247998,3.768267429,3.529207702,3.319318734,3.51087573,3.547680505,3.603595817,3.603144743,3.830676594,3.673208558,3.878824227,3.448052659,3.694235658,3.512467435,3.310346253,3.255986385,3.23058701,3.332702556,3.569328788,3.392160592,3.663456524,3.742793078,3.692758595,3.649000765,3.586240267,3.663761471,3.346462738,3.270772898,3.016317392,2.865067052,2.743727933
Non-Annex_I,Rest Central America,ANT,Netherlands Antilles,N2O,0.679162516,0.666661254,0.650972029,0.689523104,0.623650681,0.474252651,0.508103775,0.511551854,0.496742537,0.466733551,0.462489705,0.429708581,0.392424962,0.387231609,0.366065892,0.25386747,0.229102391,0.223853525,0.21087205,0.180399959,0.168144387,0.185055427,0.196015566,0.160733554,0.194148105,0.19458079,0.199321942,0.290923396,0.306361698,0.313579338,0.305475804,0.304705189,0.293644086,0.30067951,0.310327399,0.318740616,0.305898387,0.31501102,0.311001482,0.290830369,0.250463632,0.265192788,0.267285681,0.253352388,0.273609155,0.25963455,0.262144309,0.234466086,0.211689654,0.191483976,0.161460926,0.169887844,0.176514876,0.176430973,0.183113967
Non-Annex_I,Middle_East,ARE,United Arab Emirates,N2O,0.59527269,0.719137143,0.787543031,0.9801264,1.021995299,1.041612728,1.183019434,1.253066462,1.427640727,1.262153529,1.586106987,1.647085429,1.718500335,1.732593158,1.954693464,2.00576325,2.026006976,2.135770639,2.155805395,2.314045343,2.392689122,2.572734167,2.556937359,2.732602308,2.927904756,3.147225903,3.365928975,3.546309983,3.668726499,3.819813964,3.648650023,4.036442708,4.296749836,4.499796948,4.567168162,4.85593357,5.078383245,5.485267487,6.042830601,6.621820282,6.997026103,7.004411326,7.212347065,7.831710516,7.847839327,7.586530638,7.9446953,7.954317761,7.533689445,7.723631654,7.754804089,8.04382063,8.052622406,8.071022672,8.322684717
Non-Annex_I,Rest South America,ARG,Argentina,N2O,91.47091645,93.0885755,96.01088068,99.77774477,98.88369309,100.7164094,103.0715274,106.493179,102.7390231,102.2712913,100.3593588,99.28503882,98.49486975,100.0075962,102.1788431,100.0792159,99.27121645,98.15633955,100.6890531,100.890285,101.9309303,101.3158726,103.2860049,101.9148883,105.6314592,105.6560873,107.0195107,107.2479755,106.4596561,107.999235,107.4638988,109.7364302,112.4447248,120.398844,125.1926036,124.0675119,129.0053914,134.4673275,127.5427893,117.827201,119.0860318,121.5332255,120.3981602,125.1507039,126.3366487,123.8089054,133.1812202,137.4999993,137.7008542,143.3080066,144.9360396,146.0792813,144.5344605,139.2599349,140.875012
Non-Annex_I,Russia +,ARM,Armenia,N2O,1.706312799,1.763192471,1.81181323,1.878938446,1.960858118,2.023138118,2.058308935,2.145116867,2.212846828,2.26320469,2.319735341,2.323909611,2.321187922,2.367506525,2.397491985,2.419772117,2.444874493,2.47990062,2.409799595,2.333778113,2.359149042,2.074411071,1.780486229,1.42574522,1.273032295,1.20795695,1.195549611,1.092681657,1.083149711,1.03426295,1.079805756,1.085199005,1.115029819,1.082694464,1.427375514,1.410928981,1.155215467,1.680037306,1.513760231,1.442955934,1.400484688,1.448389633,1.525177751,1.72094168,1.808626772,1.841813628,1.84067734,1.829526084,1.824728732,1.916903273,1.874925904,1.822877435,1.764309281,1.70193332,1.692854289
