country_code_a3,name,year,post_paris,co2_mt,ch4_mt,n2o_mt,percent_growth_per_year
CAN,Canada,1970,0,358.161875,2.697012451171875,.1012393798828125,2.9187131
CAN,Canada,1971,0,365.81971875,2.720001220703125,.1045999450683594,4.0188451
CAN,Canada,1972,0,383.0700625,2.88652978515625,.1065436706542969,5.51967
CAN,Canada,1973,0,402.01653125,3.0646865234375,.1184246215820313,6.7286415
CAN,Canada,1974,0,410.09225,3.024832763671875,.1232202911376953,3.3577759
CAN,Canada,1975,0,400.24865625,2.9820234375,.1131523056030273,1.5454034
CAN,Canada,1976,0,413.39721875,2.92798388671875,.1206712112426758,5.889276
CAN,Canada,1977,0,427.906,2.930424560546875,.1326924591064453,3.5348265
CAN,Canada,1978,0,431.06409375,2.915027099609375,.1448786468505859,3.7359765
CAN,Canada,1979,0,445.22403125,3.022744140625,.1400769958496094,3.7251995
CAN,Canada,1980,0,450.4584375,3.015610107421875,.1350762329101562,2.1771991
CAN,Canada,1981,0,431.80121875,3.013638916015625,.1288023529052734,3.4150653
CAN,Canada,1982,0,413.8016875,2.990968994140625,.1300292510986328,-3.1661503
CAN,Canada,1983,0,407.45146875,2.973517333984375,.1618252258300781,2.5622535
CAN,Canada,1984,0,426.80590625,3.083410888671875,.1551520843505859,5.8985696
CAN,Canada,1985,0,426.67746875,3.1277197265625,.1354380187988281,4.7376809
CAN,Canada,1986,0,416.60778125,3.149775634765625,.1225356063842773,2.1214809
CAN,Canada,1987,0,429.34546875,3.205809814453125,.1302086944580078,4.0720158
CAN,Canada,1988,0,460.3670625,3.34362646484375,.1298909454345703,4.4108391
CAN,Canada,1989,0,475.4978125,3.427423828125,.1505579376220703,2.3373299
CAN,Canada,1990,0,440.50090625,3.358111328125,.1516927795410156,.20294787
CAN,Canada,1991,0,434.5525,3.446789794921875,.141478271484375,-2.0910552
CAN,Canada,1992,0,447.31815625,3.61238525390625,.1412979278564453,.89046615
CAN,Canada,1993,0,446.666,3.7281240234375,.1479108428955078,2.657707
CAN,Canada,1994,0,463.88578125,3.87638916015625,.1628579559326172,4.4940491
CAN,Canada,1995,0,475.94275,4.0420283203125,.1620945587158203,2.6823282
CAN,Canada,1996,0,489.86815625,4.1682080078125,.1624906158447266,1.6889613
CAN,Canada,1997,0,505.6429375,4.30409765625,.1377419128417969,4.2801666
CAN,Canada,1998,0,513.847875,4.336794921875,.135313232421875,3.8928866
CAN,Canada,1999,0,523.4445625,4.36942431640625,.1343154907226563,5.1410036
CAN,Canada,2000,0,543.107625,4.47332373046875,.1316248931884766,5.1385393
CAN,Canada,2001,0,534.3755625,4.52126318359375,.128474853515625,1.8750981
CAN,Canada,2002,0,554.066,4.5738369140625,.1285423889160156,2.9992554
CAN,Canada,2003,0,573.6827500000001,4.56859521484375,.1316802825927735,1.8063852
CAN,Canada,2004,0,559.7484375,4.67160595703125,.1284618225097656,3.0923638
CAN,Canada,2005,0,582.3075,4.67014697265625,.1285839538574219,3.2104545
CAN,Canada,2006,0,574.697375,4.7457666015625,.1317707214355469,2.6379437
CAN,Canada,2007,0,594.6474375,4.68776708984375,.1333444366455078,2.0499046
CAN,Canada,2008,0,575.417875,4.6255244140625,.1308660125732422,.99540633
CAN,Canada,2009,0,542.7914375,4.421869140625,.1277828216552734,-2.9150863
CAN,Canada,2010,0,562.109875,4.45514599609375,.1298682708740234,3.0908062
CAN,Canada,2011,0,575.7826875,4.509498046875,.1359533843994141,3.1371944
CAN,Canada,2012,0,567.1840625,4.6252978515625,.1398848724365234,1.7556612
CAN,Canada,2013,0,575.214875,4.678455078125,.1428035888671875,2.3258135
CAN,Canada,2014,0,580.3198125,4.8305703125,.1428000335693359,2.8734667
CAN,Canada,2015,0,574.3793125,4.79242041015625,.1422652587890625,.64997101
CAN,Canada,2016,1,574.09825,4.676544921875,.1400298004150391,1.038551
CAN,Canada,2017,1,591.893,4.7338203125,.1454295349121094,3.0338349
CAN,Canada,2018,1,612.583625,4.7707060546875,.14783544921875,2.7429636
CAN,Canada,2019,1,609.0758125,4.73327392578125,.1522418670654297,1.9084319
CAN,Canada,2020,1,548.445375,4.22054833984375,.1512320861816406,-5.0382333
CAN,Canada,2021,1,561.734375,4.3299326171875,.1449108581542969,5.9505281
CAN,Canada,2022,1,575.8351875,4.4337294921875,.1505635528564453,4.1890364
CAN,Canada,2023,1,567.096875,4.4851923828125,.1564155731201172,1.5287455
CAN,Canada,2024,1,577.972625,4.58236376953125,.1543181915283203,1.5280811
CHN,China,1970,0,911.50125,24.12861328125,.4453317565917969,19.299999
CHN,China,1971,0,914.940375,25.04585546875,.4548232421875,7.0599999
CHN,China,1972,0,975.430875,25.547859375,.4673160705566407,3.8099999
CHN,China,1973,0,1015.1823125,26.008919921875,.4783479309082031,7.7600002
CHN,China,1974,0,1032.7301875,26.30142578125,.4597411804199219,2.3099999
CHN,China,1975,0,1184.119375,27.257029296875,.4899324035644531,8.7200003
CHN,China,1976,0,1232.1465,27.557591796875,.512530029296875,-1.5700001
CHN,China,1977,0,1385.042875,28.1734609375,.56571337890625,7.5700002
CHN,China,1978,0,1560.941875,28.933556640625,.612432861328125,11.325978
CHN,China,1979,0,1598.873375,29.296041015625,.6497513427734375,7.5913248
CHN,China,1980,0,1564.73675,29.3161796875,.6960787353515625,7.8341451
CHN,China,1981,0,1550.623875,29.298423828125,.6750379638671875,5.112761
CHN,China,1982,0,1620.845,30.0605234375,.6982090454101563,9.0592842
CHN,China,1983,0,1705.597,30.83171875,.7407235107421875,10.72737
CHN,China,1984,0,1858.54475,31.732193359375,.7859356689453125,15.232561
CHN,China,1985,0,1878.472,31.828091796875,.7621397094726563,13.435474
CHN,China,1986,0,1994.730375,32.619291015625,.7733724365234375,8.9350653
CHN,China,1987,0,2133.27475,33.3922109375,.87137255859375,11.628222
CHN,China,1988,0,2293.57925,34.03110546875,.9171742553710938,11.222595
CHN,China,1989,0,2372.091,35.3825625,.944508056640625,4.2063346
CHN,China,1990,0,2414.27625,36.27639453125,.9824803466796875,3.9416306
CHN,China,1991,0,2550.1985,35.94232421875,1.003821716308594,9.361702
CHN,China,1992,0,2669.78825,35.68799609375,1.025566528320313,14.299611
CHN,China,1993,0,2890.1815,35.237125,1.00997216796875,13.929078
CHN,China,1994,0,3046.92,35.65929296875,1.049372192382813,13.072709
CHN,China,1995,0,3365.775,37.1784765625,1.206153442382812,11.032812
CHN,China,1996,0,3340.2565,37.7243046875,1.263669677734375,9.9762001
CHN,China,1997,0,3437.3195,35.83130859375,1.17894580078125,9.2876463
CHN,China,1998,0,3522.0335,36.0017734375,1.215777709960937,7.9207921
CHN,China,1999,0,3447.771,36.10124609375,1.25635546875,7.7370028
CHN,China,2000,0,3647.87725,36.306734375,1.2445791015625,8.5864325
CHN,China,2001,0,3825.058,36.29169921875,1.2360224609375,8.3126392
CHN,China,2002,0,4133.073,36.2626796875,1.310964721679688,9.2433929
CHN,China,2003,0,4773.108,37.46572265625,1.329935302734375,10.118193
CHN,China,2004,0,5496.262,39.74558203125,1.413093872070313,10.131408
CHN,China,2005,0,6235.685,41.23444921875,1.463641845703125,11.458239
CHN,China,2006,0,6922.874,42.85422265625,1.55020654296875,12.674675
